dataset	model	baseline	TP	FP	TN	FN	Precision	Recall	F1	Coverage	Acc@Cov	Overall_Acc	Decision_Acc
crag	google-gemini-2-5-flash	pairwise_model_generated	29	17	87	29	0.6304347826086957	0.5	0.5576923076923076	0.7160493827160493	0.75	0.5370370370370371	0.7160493827160493
crag	google-gemini-2-5-flash	self_consistency	2	2	14	2	0.5	0.5	0.5	0.8	0.875	0.7	0.8
crag	google-gemini-2-5-flash	ensemble_pairwise_both	39	16	88	19	0.7090909090909091	0.6724137931034483	0.6902654867256638	0.6604938271604939	0.822429906542056	0.5432098765432098	0.7839506172839507
crag	google-gemini-2-5-flash	ensemble_ays_pairwise_assistive	49	14	87	9	0.7777777777777778	0.8448275862068966	0.8099173553719008	0.6037735849056604	0.90625	0.5471698113207547	0.8553459119496856
crag	google-gemini-2-5-flash	ensemble_ays_pairwise_incremental	50	16	85	8	0.7575757575757576	0.8620689655172413	0.8064516129032258	0.5849056603773585	0.9139784946236559	0.5345911949685535	0.8490566037735849
crag	google-gemini-2-5-flash	ensemble_idk_pairwise_assistive	39	16	85	19	0.7090909090909091	0.6724137931034483	0.6902654867256638	0.6540880503144654	0.8173076923076923	0.5345911949685535	0.779874213836478
crag	google-gemini-2-5-flash	ensemble_idk_pairwise_incremental	38	18	83	20	0.6785714285714286	0.6551724137931034	0.6666666666666666	0.6477987421383647	0.8058252427184466	0.5220125786163522	0.7610062893081762
crag	google-gemini-2-5-flash	ensemble_ays_idk_pairwise_assistive	53	19	82	5	0.7361111111111112	0.9137931034482759	0.8153846153846155	0.5471698113207547	0.9425287356321839	0.5157232704402516	0.8490566037735849
crag	google-gemini-2-5-flash	ensemble_ays_idk_pairwise_incremental	54	21	80	4	0.72	0.9310344827586207	0.8120300751879699	0.5283018867924528	0.9523809523809523	0.5031446540880503	0.8427672955974843
crag	google-gemini-2-5-flash	ensemble_ays_idk_pairwise_both	55	23	78	3	0.7051282051282052	0.9482758620689655	0.8088235294117648	0.5094339622641509	0.9629629629629629	0.49056603773584906	0.8364779874213837
crag	google-gemini-2-5-pro	ays	32	8	94	25	0.8	0.5614035087719298	0.6597938144329897	0.7484276729559748	0.7899159663865546	0.5911949685534591	0.7924528301886793
crag	google-gemini-2-5-pro	ic_idk	17	5	97	40	0.7727272727272727	0.2982456140350877	0.430379746835443	0.8616352201257862	0.708029197080292	0.610062893081761	0.7169811320754716
crag	google-gemini-2-5-pro	pairwise_assistive	19	8	97	38	0.7037037037037037	0.3333333333333333	0.4523809523809524	0.8333333333333334	0.7185185185185186	0.5987654320987654	0.7160493827160493
crag	google-gemini-2-5-pro	pairwise_incremental	17	9	96	40	0.6538461538461539	0.2982456140350877	0.40963855421686746	0.8395061728395061	0.7058823529411765	0.5925925925925926	0.6975308641975309
crag	google-gemini-2-5-pro	pairwise_model_generated	16	17	88	41	0.48484848484848486	0.2807017543859649	0.3555555555555555	0.7962962962962963	0.6821705426356589	0.5432098765432098	0.6419753086419753
crag	google-gemini-2-5-pro	self_consistency	1	0	14	5	1.0	0.16666666666666666	0.2857142857142857	0.95	0.7368421052631579	0.7	0.75
crag	google-gemini-2-5-pro	ensemble_pairwise_both	25	12	93	32	0.6756756756756757	0.43859649122807015	0.5319148936170213	0.7716049382716049	0.744	0.5740740740740741	0.7283950617283951
crag	google-gemini-2-5-pro	ensemble_ays_pairwise_assistive	42	13	89	15	0.7636363636363637	0.7368421052631579	0.7499999999999999	0.6540880503144654	0.8557692307692307	0.559748427672956	0.8238993710691824
crag	google-gemini-2-5-pro	ensemble_ays_pairwise_incremental	41	14	88	16	0.7454545454545455	0.7192982456140351	0.7321428571428571	0.6540880503144654	0.8461538461538461	0.5534591194968553	0.8113207547169812
crag	google-gemini-2-5-pro	ensemble_idk_pairwise_assistive	26	10	92	31	0.7222222222222222	0.45614035087719296	0.5591397849462365	0.7735849056603774	0.7479674796747967	0.5786163522012578	0.7421383647798742
crag	google-gemini-2-5-pro	ensemble_idk_pairwise_incremental	23	11	91	34	0.6764705882352942	0.40350877192982454	0.5054945054945055	0.7861635220125787	0.728	0.5723270440251572	0.7169811320754716
crag	google-gemini-2-5-pro	ensemble_ays_idk_pairwise_assistive	45	15	87	12	0.75	0.7894736842105263	0.7692307692307692	0.6226415094339622	0.8787878787878788	0.5471698113207547	0.8301886792452831
